"OECD (2015), Meat consumption (indicator). doi: 10.1787/fa290fd0-en (Accessed on 04 October 2015)"
https://data.oecd.org/agroutput/meat-consumption.htm
"Flags: .. Not available; | Break in series; e Estimated value; f Forecast value; x Not applicable; p Provisional data; s Strike; - Nil"
"OECD total excludes Iceland but includes all EU28 countries. Information on data for Israel: http://oe.cd/israel-disclaimer"
"Disclaimer and Terms and Conditions: http://www.oecd.org/termsandconditions/"

"Meat consumption, Poultry meat, Kilograms/capita "

Location,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,"1970 Flags","1971 Flags","1972 Flags","1973 Flags","1974 Flags","1975 Flags","1976 Flags","1977 Flags","1978 Flags","1979 Flags","1980 Flags","1981 Flags","1982 Flags","1983 Flags","1984 Flags","1985 Flags","1986 Flags","1987 Flags","1988 Flags","1989 Flags","1990 Flags","1991 Flags","1992 Flags","1993 Flags","1994 Flags","1995 Flags","1996 Flags","1997 Flags","1998 Flags","1999 Flags","2000 Flags","2001 Flags","2002 Flags","2003 Flags","2004 Flags","2005 Flags","2006 Flags","2007 Flags","2008 Flags","2009 Flags","2010 Flags","2011 Flags","2012 Flags","2013 Flags","2014 Flags","2015 Flags","2016 Flags","2017 Flags","2018 Flags","2019 Flags","2020 Flags","2021 Flags","2022 Flags","2023 Flags","2024 Flags"
Algeria,,,,,,,,,,,,,,4.1088,5.9681,6.1712,6.3640,6.2562,6.1920,6.2017,6.2130,6.1932,6.1773,6.1970,6.1934,6.0775,6.3526,6.3892,7.0791,6.6355,6.8016,6.6602,6.6497,6.9129,7.0841,7.0647,6.6874,6.6827,6.6073,6.4981,6.6429,6.4594,6.4803,6.3541,6.2368,6.1997,6.1728,6.1474,6.1264,6.1058,6.0826,6.0810,6.0811,6.0808,6.0842,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,,,,,,,,,,,7.7829,8.9940,8.2901,8.2948,8.9474,9.9858,10.8181,11.8212,10.3956,8.8997,9.1121,10.4572,15.3865,18.5007,18.5877,20.2919,19.2172,20.0099,22.3194,23.0112,22.8824,22.0249,15.4462,16.1709,18.9786,21.2806,24.4165,25.4688,27.8223,29.4357,30.4799,34.1536,35.2924,34.6192,35.1132,35.5168,35.9157,36.3289,36.3897,36.7625,36.8637,36.7564,37.2022,37.7131,37.9906,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,10.3652,10.4912,10.4818,10.7594,12.3697,11.5296,12.7302,13.8945,15.1198,17.0596,18.2009,16.7991,16.9516,16.9606,17.5597,20.0047,19.7956,20.7939,20.8797,21.0757,21.7676,22.0620,22.0845,23.2694,24.0089,23.5792,23.9964,25.1783,27.0473,27.2769,28.9619,28.5099,31.6247,30.5304,31.9431,33.1773,34.3025,33.9021,32.4661,32.9193,35.3148,37.4473,38.1919,38.5169,39.5713,40.2160,40.5414,40.8382,40.5772,40.6998,40.9064,41.0016,41.0129,40.9708,40.8348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,,,,,,,,,,,,,,0.6217,0.5117,0.5769,0.5909,0.6050,0.6208,0.6215,0.6583,0.6624,0.6825,0.7198,0.7352,0.7560,0.8467,0.8746,0.7596,0.7583,0.7445,0.7315,0.7389,0.8573,0.8862,0.9286,1.0876,1.1364,1.1335,1.1658,1.1837,1.1965,1.1893,1.1918,1.1940,1.2099,1.2250,1.2380,1.2513,1.2653,1.2823,1.3016,1.3194,1.3365,1.3545,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,1.9904,2.0059,2.5711,3.4234,4.0372,4.1947,4.6418,5.1131,6.1153,7.5102,8.4814,8.1732,8.5789,8.3554,7.2761,8.0292,9.0739,10.3253,10.5275,11.0061,12.0958,13.3375,14.2379,15.2807,16.2552,19.6654,18.6483,21.3792,22.4611,24.7565,25.9928,27.6773,29.5437,28.3027,29.2544,31.6802,31.9868,34.3871,36.2674,35.8686,39.9541,41.4653,40.6599,38.5368,38.7146,39.8689,39.6424,40.1207,40.9991,41.5161,41.9084,42.0805,42.5058,42.4298,42.3334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRICS,,,,,,,,,,,,,,1.4286,1.3747,1.4640,1.6534,1.9107,2.1390,2.1990,2.4746,2.8523,3.4456,3.9213,4.7373,5.6585,5.1059,5.8465,6.0787,6.2664,6.7478,6.9749,7.2061,7.2917,7.3280,7.9157,8.1268,8.7543,9.2686,9.4418,9.7946,10.0084,10.4244,10.2687,10.2935,10.4646,10.5003,10.7310,10.9304,11.1124,11.3018,11.4601,11.6482,11.8046,11.9489,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,-1.3347,0.2561,0.0223,-0.3452,-0.2484,0.7158,-0.4743,0.1974,0.1775,-0.5682,0.2255,21.2116,21.3300,21.4834,22.1295,23.2408,23.5212,24.8035,25.5988,25.3511,25.8696,25.8360,25.8624,26.4029,28.0381,27.7929,27.6204,28.0526,28.6108,29.8045,31.2210,32.3298,32.6201,32.7564,32.9238,33.1325,33.4620,33.5890,33.7509,33.2451,32.8553,32.6396,31.9256,32.3374,33.0622,33.4150,33.5996,33.6132,33.7775,33.8085,33.9849,34.2388,34.2776,34.3256,34.6052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,,,,,,,,,,,,,,6.5738,5.4971,5.2873,5.2032,6.9434,7.4320,7.2742,7.8464,8.6476,12.8423,15.0910,16.5507,18.9812,19.8322,19.6425,21.1304,21.3973,23.5600,24.2061,23.2254,23.2938,25.6118,25.4241,29.0728,30.0511,28.3607,27.2034,28.7715,31.5709,31.2820,32.0873,32.4743,32.5680,33.9403,35.0515,35.3721,35.6721,35.9440,36.2372,36.5054,36.7509,37.0203,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"China (People's Republic of)",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.1766,1.1904,1.2263,1.2485,1.2701,1.3222,1.5225,1.7642,2.1738,2.2112,2.4469,2.9523,3.3114,4.1437,5.4613,6.9098,6.1126,7.0254,7.5640,7.9598,8.3866,8.1169,8.1367,8.4573,8.3468,8.9161,9.1192,9.7393,10.3311,10.6022,10.7210,10.8698,11.5907,11.3981,11.4199,11.4472,11.5094,11.9433,12.2420,12.5404,12.8672,13.1632,13.4868,13.8229,14.1339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,,,,,,,,,,,,,,3.8661,4.1210,4.4390,5.3482,6.0407,7.6303,7.5804,7.8883,10.0638,10.5772,11.3803,12.5387,13.7151,11.5580,10.6730,12.1184,11.7134,11.8453,13.7536,14.6079,14.9204,15.0816,16.1886,17.7789,19.0796,20.4839,20.4067,20.6106,21.0650,21.5776,21.9007,22.0156,22.2443,23.2988,24.2635,24.6177,24.8366,25.0539,25.2926,25.5264,25.7270,25.9122,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,,,,,,,,,,,,,,4.7781,5.7070,5.2919,5.0074,5.6100,4.6410,4.3245,4.2493,4.6662,4.7869,4.9020,5.2392,5.8542,5.9882,7.5497,7.3411,7.9765,8.1108,8.3013,8.2939,8.4355,8.3194,8.1443,8.7916,9.7611,8.8374,9.5854,9.9335,10.3524,11.6803,9.7522,10.7893,11.1865,11.4722,11.6753,11.8403,12.0032,12.1638,12.3336,12.5097,12.6790,12.8553,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,0.5937,0.5734,0.5551,0.5412,0.5273,0.5216,0.5108,0.5029,0.6454,0.6801,0.6141,0.5597,0.4920,0.5082,0.5060,0.5177,0.5230,0.5985,0.5310,0.5804,0.5613,0.5473,0.5507,0.5537,0.5560,0.5586,0.5613,0.5643,0.5679,0.5719,0.5761,0.5803,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"European Union (28 countries)",,,,,,,,,,,,,,,,,,,,,13.7672,13.6897,14.5941,14.7412,15.5463,15.9269,16.7198,16.9848,17.6289,17.3515,17.8135,19.2031,19.7468,19.0759,18.9810,19.5325,18.7638,19.6717,19.8372,20.4164,20.5960,20.7050,21.0741,21.2562,21.6097,21.9661,22.4729,22.7319,22.8601,22.7325,22.7974,22.9266,22.9907,23.0472,23.1430,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghana,,,,,,,,,,,,,,0.4858,0.4628,0.4221,0.3935,0.5242,0.5076,0.6919,0.9625,1.1159,1.0859,0.9172,0.9243,1.0484,1.1189,1.1739,1.2170,1.7376,1.6547,1.5155,2.2199,3.0239,3.2148,3.4187,3.6827,4.7479,4.5955,4.2289,5.4200,7.0494,7.0957,7.5646,6.6943,6.6989,7.1032,7.4346,7.6036,7.6379,7.7530,7.8796,7.9977,8.1145,8.2242,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haiti,,,,,,,,,,,,,,1.1387,1.2519,1.1411,1.1241,1.1266,1.0289,0.9149,0.8354,0.7751,0.7450,0.7167,1.0017,1.4242,1.6667,2.1494,2.9046,4.2946,2.4636,2.5520,3.2786,3.6374,2.6734,3.3078,3.2694,3.5351,3.2471,4.3983,6.3232,6.7789,6.5177,6.2478,5.7649,5.7440,5.7258,5.7098,5.6952,5.6825,5.6712,5.6612,5.6530,5.6464,5.6411,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,0.1900,0.2028,0.2127,0.2306,0.3317,0.3305,0.3568,0.3963,0.5186,0.5260,0.5810,0.5861,0.5909,0.5967,0.5904,0.6444,0.6954,0.7631,0.7998,0.9209,0.9993,1.0619,1.1241,1.1963,1.3588,1.4371,1.5702,1.6252,1.6103,1.6027,1.7205,1.8354,1.9078,1.9632,1.9972,2.0267,2.0579,2.0889,2.1199,2.1503,2.1779,2.2035,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,,,,,,,,,,,,,,1.4958,1.5490,1.7240,1.8228,1.9911,2.0647,2.2193,2.5070,2.8260,2.6061,3.2706,3.7597,3.9750,4.2380,3.9567,2.6806,2.6762,3.9251,4.3007,4.5130,4.5813,4.8292,4.5132,4.9803,5.1295,5.2102,5.3129,5.7263,6.1171,6.3504,6.3122,6.3025,6.3876,6.4779,6.5643,6.6577,6.7512,6.8499,6.9560,7.0665,7.1809,7.2973,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iran,,,,,,,,,,,,,,5.6753,5.2537,4.9236,5.6401,5.8783,5.6849,6.3026,6.1710,6.6903,8.5492,9.3832,9.3779,9.5835,9.7684,10.2385,10.3245,10.2429,11.2277,11.7970,12.3849,14.2081,14.8607,15.4938,16.8220,18.4503,18.9893,23.9195,22.1891,22.8063,22.7455,22.5057,22.3738,22.4571,22.8216,23.1000,23.2347,23.3655,23.5107,23.6767,23.8502,24.0259,24.2060,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
