Location,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,1970 Flags,1971 Flags,1972 Flags,1973 Flags,1974 Flags,1975 Flags,1976 Flags,1977 Flags,1978 Flags,1979 Flags,1980 Flags,1981 Flags,1982 Flags,1983 Flags,1984 Flags,1985 Flags,1986 Flags,1987 Flags,1988 Flags,1989 Flags,1990 Flags,1991 Flags,1992 Flags,1993 Flags,1994 Flags,1995 Flags,1996 Flags,1997 Flags,1998 Flags,1999 Flags,2000 Flags,2001 Flags,2002 Flags,2003 Flags,2004 Flags,2005 Flags,2006 Flags,2007 Flags,2008 Flags,2009 Flags,2010 Flags,2011 Flags,2012 Flags,2013 Flags,2014 Flags,2015 Flags,2016 Flags,2017 Flags,2018 Flags,2019 Flags,2020 Flags,2021 Flags,2022 Flags,2023 Flags,2024 Flags
Algeria,,,,,,,,,,,,,,3.9226,4.0737,3.8186,3.801,4.2192,4.2077,4.7213,4.9811,5.0284,5.2633,5.5505,5.4511,5.4188,5.6462,5.192,5.2007,5.0339,5.0615,4.8725,4.86,4.8099,5.1552,5.3552,5.2774,5.2481,4.867,5.1332,5.2735,6.2966,6.4431,6.4778,6.6828,6.7996,6.8094,6.8825,6.9294,7.003,7.0703,7.1416,7.2234,7.3017,7.3754,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,,,,,,,,,,,3.1406,3.0885,2.876,3.0572,3.104,2.8168,2.8125,2.5286,2.3408,2.3072,2.2712,2.3348,1.8857,1.8737,2.3863,2.2393,1.793,1.6299,1.4171,1.3342,1.4109,1.3952,1.3546,1.3195,1.2709,1.2796,1.2295,1.2308,1.1578,1.1086,1.1037,1.1394,1.221,1.2125,1.2234,1.2118,1.2163,1.234,1.2409,1.2463,1.255,1.2622,1.2693,1.2758,1.2727,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,0,0,0,0,0,0,0,0,0,18.3715,17.3595,16.8626,18.1769,18.2698,19.653,21.6026,19.9516,20.2957,18.8779,20.3295,18.8618,19.267,17.8316,17.3702,18.3785,15.0059,14.6745,14.9195,15.3055,15.0584,16.1403,14.7525,13.5602,11.9525,11.7836,11.7921,12.1691,12.3912,10.8331,10.1993,8.8731,7.9744,8.6675,8.69,8.9694,9.4679,9.4086,9.3086,9.1514,8.9975,8.8344,8.6769,8.5239,8.3857,8.3201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,,,,,,,,,,,,,,0.3229,0.3817,0.495,0.5169,0.5392,0.5631,0.5914,0.616,0.6456,0.6742,0.7157,0.7519,0.7887,0.8503,0.8898,0.8997,0.8776,0.875,0.8638,0.8982,0.95,1.0191,1.0602,1.0077,1.0353,1.0675,1.1031,1.1372,1.1707,1.1629,1.1537,1.1459,1.1473,1.1538,1.1786,1.2082,1.2411,1.2709,1.2984,1.3233,1.3438,1.3603,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5052,0.6653,0.5952,0.6303,0.6553,0.6721,0.6699,0.6658,0.6795,0.6523,0.6973,0.5437,0.5658,0.3931,0.3934,0.4097,0.3773,0.3516,0.348,0.3781,0.3807,0.393,0.4204,0.3932,0.4185,0.4082,0.4021,0.4081,0.4155,0.415,0.4053,0.3968,0.3945,0.393,0.3916,0.3905,0.3885,0.3872,0.3858,0.3832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRICS,,,,,,,,,,,,,,0.5517,0.5633,0.5959,0.6031,0.6572,0.6882,0.7469,0.773,0.8078,0.904,0.9416,0.9584,1.0287,1.018,1.1116,1.1559,1.194,1.2661,1.3061,1.3779,1.3217,1.3898,1.426,1.4821,1.5373,1.5371,1.549,1.5972,1.5796,1.6066,1.6522,1.6764,1.698,1.7288,1.7505,1.7801,1.8192,1.8425,1.8697,1.892,1.9194,1.9443,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,1.5815,1.2821,1.8055,1.4196,0.9653,1.1042,0.8839,0.7083,0.7483,0.9209,0.7022,0.6098,0.6347,0.6843,0.7428,0.6483,0.7927,0.7766,0.7429,0.6932,0.7305,0.7644,0.7413,0.7525,0.7233,0.7134,0.6642,0.652,0.7302,0.754,0.8299,0.9113,0.9106,0.9527,0.9739,0.983,1.0664,1.0709,1.0245,1.0132,0.9544,0.9255,0.8563,0.8654,0.8668,0.8552,0.845,0.8322,0.8191,0.8165,0.817,0.809,0.8045,0.7961,0.7988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,,,,,,,,,,,,,,1.1637,1.0575,1.1208,1.0979,1.1522,1.0101,0.9249,0.8156,0.8772,0.9521,0.8966,0.7801,0.7195,0.7004,0.7314,0.758,0.7591,0.7208,0.6153,0.6047,0.5308,0.5112,0.4849,0.5804,0.5853,0.6457,0.5535,0.4848,0.5321,0.6226,0.572,0.5726,0.572,0.5801,0.5876,0.5893,0.5934,0.5961,0.5997,0.603,0.606,0.6087,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China (People's Republic of),0,0,0,0,0,0,0,0,0,0,0,0,0,0.4669,0.4947,0.4946,0.5094,0.5782,0.6348,0.7503,0.8042,0.8761,0.9164,0.9947,1.0617,1.241,1.278,1.4917,1.6361,1.7421,1.8925,2.0154,2.1719,2.0997,2.2416,2.313,2.3852,2.5071,2.4853,2.5389,2.6114,2.5814,2.6385,2.7542,2.8095,2.8594,2.9284,2.9756,3.0412,3.1253,3.1763,3.2368,3.2866,3.35,3.4097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
