Location,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Aruba,,0.03607829,0.035570732,0.035275235,0.035069877,0.034867503,0.034654838,0.034453651,0.034255374,0.034057626,0.033861001,0.033648508,0.033417434,0.033201082,0.033044197,0.032973374,0.033009292,0.033131233,0.033274548,0.03334556,0.033280085,0.033021282,0.032603026,0.032152273,0.031831421,0.031731929,0.031926441,0.032344142,0.032745551,0.032769695,0.032181245,0.030948733,0.029310471,0.027586968,0.026075619,0.024898538,0.024039906,0.023406322,0.022915807,0.0224709,0.022012371,0.021529916,0.02105374,0.020615369,0.020254805,0.019993802,0.019835366,0.019759331,0.019735154,0.019720754,0.019685621,0.019620154,0.019532585,,,
Andorra,,0.069560378,0.06503642,0.060938452,0.057240985,0.05390545,0.050900947,0.048181161,0.045687135,0.043363254,0.041187858,0.039123631,0.03718578,0.035422054,0.033882225,0.032566925,0.031465341,0.030516647,0.029633142,0.028719952,0.027729252,0.026665245,0.025567601,0.024472615,0.02341701,0.022423033,0.021498441,0.020636427,0.019829073,0.01906614,0.036689842,0.035289551,0.033953552,0.032785273,0.031894366,0.031321452,0.031108553,0.031178387,0.034435262,0.035847322,0.035168733,0.0354139,0.035188469,0.033430058,0.0319134,0.030779459,0.028786298,0.027097717,0.025696132,0.026908768,0.029614186,0.030367077,0.030258712,,,
Afghanistan,,0.834702227,0.824078327,0.813088735,0.801756051,0.785074881,0.772009336,0.756514862,0.740014661,0.724456681,0.707664001,0.69220397,0.675093472,0.657932276,0.64227729,0.628628222,0.616458379,0.605828561,0.5982206,0.595485497,0.598724799,0.608605591,0.624457202,0.644184282,0.664007837,0.680108453,0.691497095,0.697658091,0.695337669,0.681405998,0.655475792,0.618482187,0.575455618,0.52777956,0.485382232,0.456282007,0.437426352,0.426136442,0.419037268,0.401976635,0.389961598,0.374211686,0.357331027,0.345309145,0.332597868,0.319877731,0.309486942,0.301187779,0.293794568,0.286430575,0.278661838,0.270434754,0.26205307,,,
Angola,,0.497458027,0.493971264,0.488698137,0.485376832,0.480483606,0.477524947,0.474606777,0.471473076,0.469430143,0.46024667,0.45047529,0.440217881,0.429615946,0.418848228,0.408029227,0.39728705,0.386598625,0.375786933,0.364647684,0.353143894,0.341258774,0.32926442,0.317680973,0.307043428,0.297582125,0.289314325,0.281944507,0.275014358,0.267997611,0.260606927,0.25714396,0.253186543,0.244962229,0.237182593,0.230014324,0.2234668,0.217361882,0.211450615,0.205451547,0.199221204,0.19276748,0.192430695,0.197706663,0.190801075,0.184224345,0.177979445,0.177231885,0.171351527,0.194930795,0.193214368,0.186853737,0.215995746,,,
Albania,,0.260272322,0.254774241,0.249628252,0.244193514,0.246676437,0.248097095,0.248270501,0.247246661,0.244992662,0.243973366,0.242246623,0.240735474,0.238597811,0.237008771,0.234112085,0.233879975,0.230749706,0.227178321,0.222703367,0.218937372,0.215696229,0.211544968,0.207105585,0.202793733,0.198666874,0.194863091,0.191334493,0.187758406,0.180300582,0.176173011,0.176932095,0.178008333,0.178787942,0.179888862,0.181003481,0.182131941,0.183592252,0.184431666,0.185603475,0.187113936,0.18887821,0.189445462,0.190155599,0.190951982,0.178649285,0.195151488,0.194611681,0.206968107,0.208025977,0.214897181,0.214129814,0.213446767,,,
Arab World,,0.483767144,0.470870044,0.460312538,0.45134334,0.443356096,0.430109555,0.42079927,0.408297664,0.399185206,0.390748078,0.389860445,0.377180122,0.368072319,0.360865504,0.350816382,0.343782209,0.332025553,0.322736661,0.31157235,0.301122233,0.293706205,0.286060666,0.276774307,0.271276946,0.264828017,0.258881875,0.254114664,0.247730867,0.241753886,0.236301858,0.232956492,0.231855589,0.237218384,0.230466056,0.226798955,0.223383618,0.217895897,0.212951147,0.207283573,0.199285052,0.194942139,0.192460602,0.19464177,0.18826529,0.186485279,0.18023401,0.177282474,0.170555412,0.163227829,0.161076474,0.152249753,0.158990006,,,
United Arab Emirates,,0.049512304,0.044547398,0.039930999,0.036174215,0.033262816,0.037249266,0.034928193,0.032377828,0.029187138,0.029732324,0.025439744,0.021600338,0.020897386,0.019913795,0.020705298,0.017683438,0.016600978,0.014503368,0.012940754,0.015735811,0.017381631,0.015537641,0.018879959,0.018745929,0.019253084,0.020271952,0.019091621,0.017968851,0.016938095,0.019321453,0.018294053,0.018821068,0.018798203,0.0187644,0.018296377,0.018640643,0.01733957,0.013168628,0.014908876,0.019671306,0.022064319,0.022097429,0.017651287,0.01584529,0.01517188,0.009784859,0.007420842,0.007478107,0.006475959,0.006074829,0.005792972,0.005249906,,,
Argentina,,0.887554521,0.900990535,0.906490635,0.910998789,0.918217601,0.955736291,0.974219614,1.02535231,1.097051969,1.084550651,1.067041302,1.049108359,1.031198187,1.013862424,0.997430657,0.981978689,0.967313473,0.953158073,0.93915266,0.925073034,0.910894672,0.931227504,0.916660643,0.902379062,0.888485787,0.874997189,0.855506459,0.829267901,0.820430257,0.811952677,0.803761653,0.795866332,0.78831079,0.781234763,0.774543248,0.768273392,0.762405165,0.756727535,0.751254078,0.745868854,0.740455388,0.73534995,0.748731221,0.794628738,0.840390532,0.881069296,0.911510844,0.868162091,0.828385436,0.902823978,0.913394247,0.933383797,,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.122626574,0.128499115,0.132221136,0.134960177,0.141802626,0.145012895,0.146163231,0.145451254,0.146289227,0.148691061,0.149315005,0.149847518,0.150364411,0.150916261,0.150857999,0.151299297,0.151060712,0.151376821,0.151341524,0.144946873,0.150553715,,,
American Samoa,,0.048832894,0.047352969,0.045697573,0.044050923,0.042520623,0.041118421,0.039815257,0.03863092,0.037572797,0.036640774,0.035821751,0.035100035,0.03446612,0.03390865,0.033409061,0.032976092,0.032583904,0.032149172,0.031575624,0.030810944,0.029861443,0.028785262,0.027651044,0.026534349,0.025479654,0.024488796,0.023558236,0.022701991,0.021934154,0.021256696,0.020670125,0.024195012,0.023656974,0.023162893,0.028369331,0.037087861,0.036402024,0.042934578,0.044038895,0.043461632,0.042973047,0.042568407,0.056498131,0.055684925,0.055821507,0.056267903,0.051809892,0.051901597,0.053356099,0.053921921,0.054233856,0.054321256,,,
